Spatial,Linguistic,Logic,Kinesthetic,Music,Interpersonal,Intrapersonal,Naturalistic,Career Recommendation
5,4,3,2,1,2,3,1,"Architect,Desainer,Aerospace"
5,3,2,1,0,3,2,2,"Architect,Desainer,Aerospace"
5,2,3,4,3,2,1,0,"Architect,Desainer,Aerospace"
5,1,2,1,3,2,2,3,"Architect,Desainer,Aerospace"
5,1,4,3,2,1,0,2,"Architect,Desainer,Aerospace"
4,2,1,3,1,2,0,2,"Architect,Desainer,Aerospace"
4,1,0,2,0,1,3,1,"Architect,Desainer,Aerospace"
4,0,3,1,3,0,2,0,"Architect,Desainer,Aerospace"
4,3,2,0,2,3,1,3,"Architect,Desainer,Aerospace"
4,2,1,3,1,2,0,2,"Architect,Desainer,Aerospace"
1,5,4,3,2,1,2,3,"Journalist,Writer,Law"
2,5,3,2,1,0,3,2,"Journalist,Writer,Law"
0,5,2,3,4,3,2,1,"Journalist,Writer,Law"
3,5,1,2,1,3,2,2,"Journalist,Writer,Law"
2,5,1,4,3,2,1,0,"Journalist,Writer,Law"
2,4,2,1,3,1,2,0,"Journalist,Writer,Law"
1,4,1,0,2,0,1,3,"Journalist,Writer,Law"
0,4,0,3,1,3,0,2,"Journalist,Writer,Law"
3,4,3,2,0,2,3,1,"Journalist,Writer,Law"
2,4,2,1,3,1,2,0,"Journalist,Writer,Law"
3,1,5,4,3,2,1,2,"Data Scientist,Programmer,Engineering"
2,2,5,3,2,1,0,3,"Data Scientist,Programmer,Engineering"
1,0,5,2,3,4,3,2,"Data Scientist,Programmer,Engineering"
2,3,5,1,2,1,3,2,"Data Scientist,Programmer,Engineering"
0,2,5,1,4,3,2,1,"Data Scientist,Programmer,Engineering"
0,2,4,2,1,3,1,2,"Data Scientist,Programmer,Engineering"
3,1,4,1,0,2,0,1,"Data Scientist,Programmer,Engineering"
2,0,4,0,3,1,3,0,"Data Scientist,Programmer,Engineering"
1,3,4,3,2,0,2,3,"Data Scientist,Programmer,Engineering"
0,2,4,2,1,3,1,2,"Data Scientist,Programmer,Engineering"
2,3,1,5,4,3,2,1,"Athlete,Therapist,Surgeon"
3,2,2,5,3,2,1,0,"Athlete,Therapist,Surgeon"
2,1,0,5,2,3,4,3,"Athlete,Therapist,Surgeon"
2,2,3,5,1,2,1,3,"Athlete,Therapist,Surgeon"
1,0,2,5,1,4,3,2,"Athlete,Therapist,Surgeon"
2,0,2,4,2,1,3,1,"Athlete,Therapist,Surgeon"
1,3,1,4,1,0,2,0,"Athlete,Therapist,Surgeon"
0,2,0,4,0,3,1,3,"Athlete,Therapist,Surgeon"
3,1,3,4,3,2,0,2,"Athlete,Therapist,Surgeon"
2,0,2,4,2,1,3,1,"Athlete,Therapist,Surgeon"
1,2,3,1,5,4,3,2,"Musician,Composer,Singer"
0,3,2,2,5,3,2,1,"Musician,Composer,Singer"
3,2,1,0,5,2,3,4,"Musician,Composer,Singer"
3,2,2,3,5,1,2,1,"Musician,Composer,Singer"
2,1,0,2,5,1,4,3,"Musician,Composer,Singer"
1,2,0,2,4,2,1,3,"Musician,Composer,Singer"
0,1,3,1,4,1,0,2,"Musician,Composer,Singer"
3,0,2,0,4,0,3,1,"Musician,Composer,Singer"
2,3,1,3,4,3,2,0,"Musician,Composer,Singer"
1,2,0,2,4,2,1,3,"Musician,Composer,Singer"
2,1,2,3,1,5,4,3,"Teacher,Counselor,Lecturers"
1,0,3,2,2,5,3,2,"Teacher,Counselor,Lecturers"
4,3,2,1,0,5,2,3,"Teacher,Counselor,Lecturers"
1,3,2,2,3,5,1,2,"Teacher,Counselor,Lecturers"
3,2,1,0,2,5,1,4,"Teacher,Counselor,Lecturers"
3,1,2,0,2,4,2,1,"Teacher,Counselor,Lecturers"
2,0,1,3,1,4,1,0,"Teacher,Counselor,Lecturers"
1,3,0,2,0,4,0,3,"Teacher,Counselor,Lecturers"
0,2,3,1,3,4,3,2,"Teacher,Counselor,Lecturers"
3,1,2,0,2,4,2,1,"Teacher,Counselor,Lecturers"
3,2,1,2,3,1,5,4,"Life Coach,Psychologist,Consultant"
2,1,0,3,2,2,5,3,"Life Coach,Psychologist,Consultant"
3,4,3,2,1,0,5,2,"Life Coach,Psychologist,Consultant"
2,1,3,2,2,3,5,1,"Life Coach,Psychologist,Consultant"
4,3,2,1,0,2,5,1,"Life Coach,Psychologist,Consultant"
1,3,1,2,0,2,4,2,"Life Coach,Psychologist,Consultant"
0,2,0,1,3,1,4,1,"Life Coach,Psychologist,Consultant"
3,1,3,0,2,0,4,0,"Life Coach,Psychologist,Consultant"
2,0,2,3,1,3,4,3,"Life Coach,Psychologist,Consultant"
1,3,1,2,0,2,4,2,"Life Coach,Psychologist,Consultant"
4,3,2,1,2,3,1,5,"Biologist,Agriculture,Veterinary Medicine"
3,2,1,0,3,2,2,5,"Biologist,Agriculture,Veterinary Medicine"
2,3,4,3,2,1,0,5,"Biologist,Agriculture,Veterinary Medicine"
